Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Veteran,RSC004394,chis,Mosaic Maestros,Art Club,Solar,211.3,43,4,0.793,0.75,3,1,1912,1230,682,6,5,5,13,46.2%,686.7,441.8,244.9,2.15,1.8,1.8,4.67,478.0,307.5,170.5,1.5,1.25,1.25,3.25,13,6,4.67,2.15,3.25,1.5
Veteran,,D:,Dump Trucks,Road Work Ahead,Lunar,121.3,62,4,0.659,0.5,2,2,1898,1040,858,4,4,5,19,21.1%,472.8,259.1,213.7,1.0,1.0,1.25,4.73,474.5,260.0,214.5,1.0,1.0,1.25,4.75,8,5,1.99,1.25,2.0,1.25
Veteran,RSC005296,mose,Rockin Revenants,Ghoul School,Solar,96.7,451,28,0.657,0.643,18,10,13355,8270,5085,41,21,43,97,42.3%,457.3,283.2,174.1,1.4,0.72,1.47,3.32,477.0,295.4,181.6,1.46,0.75,1.54,3.46,90,60,3.08,2.05,3.21,2.14
Veteran,RSC004200,Dread.,Cannoli,Fifty-Fifty Pizzeria,Lunar,96.0,317,20,0.729,0.75,15,5,8731,5540,3191,22,22,31,69,31.9%,425.4,269.9,155.5,1.07,1.07,1.51,3.36,436.6,277.0,159.6,1.1,1.1,1.55,3.45,64,34,3.12,1.66,3.2,1.7
Veteran,RSC004856,Redfire0817,Legati,The Sovereign,Lunar,94.4,918,62,0.628,0.694,43,19,26467,14940,11527,71,40,73,219,32.4%,445.3,251.3,193.9,1.19,0.67,1.23,3.68,426.9,241.0,185.9,1.15,0.65,1.18,3.53,170,122,2.86,2.05,2.74,1.97
Veteran,RSC006188,Billy_Man_Fi3h,Neutrinos,The Quantum State,Solar,91.2,875,52,0.645,0.673,35,17,24238,14460,9778,58,49,85,196,29.6%,427.8,255.2,172.6,1.02,0.86,1.5,3.46,466.1,278.1,188.0,1.12,0.94,1.63,3.77,161,110,2.84,1.94,3.1,2.12
Veteran,RSC005824,Bolts,Gouda Gangsters,Cheese Guild,Lunar,84.6,55,4,0.764,0.75,3,1,1389,790,599,3,5,3,9,33.3%,390.0,221.8,168.2,0.84,1.4,0.84,2.53,347.3,197.5,149.8,0.75,1.25,0.75,2.25,9,4,2.53,1.12,2.25,1.0
Veteran,RSC003887,Cundy,Giraffes,Safari,Lunar,82.4,55,4,0.55,0.5,2,2,1505,650,855,1,4,5,10,10.0%,422.6,182.5,240.1,0.28,1.12,1.4,2.81,376.3,162.5,213.8,0.25,1.0,1.25,2.5,8,7,2.25,1.97,2.0,1.75
Veteran,RSC007263,HardPointy,"Rulers
Grizzly Bears","Monarchy
The Bear Den",Lunar,82.3,847,53,0.608,0.66,35,18,23627,14330,9297,56,42,101,158,35.4%,430.8,261.3,169.5,1.02,0.77,1.84,2.88,445.8,270.4,175.4,1.06,0.79,1.91,2.98,157,119,2.86,2.17,2.96,2.25
Veteran,RSC005709,ZavaRL,Azalea,Flower Road,Lunar,81.7,903,59,0.648,0.678,40,19,24940,14970,9970,64,37,97,187,34.2%,426.5,256.0,170.5,1.09,0.63,1.66,3.2,422.7,253.7,169.0,1.08,0.63,1.64,3.17,155,104,2.65,1.78,2.63,1.76
Veteran,RSC006783,ImSouperGreat,Legati,The Sovereign,Lunar,79.8,58,4,0.587,0.5,2,2,1644,890,754,4,3,5,9,44.4%,437.7,237.0,200.8,1.07,0.8,1.33,2.4,411.0,222.5,188.5,1.0,0.75,1.25,2.25,10,8,2.66,2.13,2.5,2.0
Veteran,RSC003350,jeremy,Mellow Fellows,Vibe Tribe,Lunar,79.1,1037,64,0.553,0.594,38,26,29493,15950,13543,65,38,111,200,32.5%,439.2,237.5,201.7,0.97,0.57,1.65,2.98,460.8,249.2,211.6,1.02,0.59,1.73,3.13,152,132,2.26,1.97,2.38,2.06
Veteran,RSC006947,HaZard,Cannoli,Fifty-Fifty Pizzeria,Lunar,78.6,1036,63,0.609,0.571,36,27,26142,15630,10512,76,53,63,223,34.1%,389.7,233.0,156.7,1.13,0.79,0.94,3.32,415.0,248.1,166.9,1.21,0.84,1.0,3.54,189,143,2.82,2.13,3.0,2.27
Veteran,RSC003799,Armo27,Paradox Paloma,5 O'clock Nowhere,Solar,76.0,426,28,0.738,0.679,19,9,11195,6820,4375,35,18,32,82,42.7%,405.8,247.2,158.6,1.27,0.65,1.16,2.97,399.8,243.6,156.3,1.25,0.64,1.14,2.93,87,45,3.15,1.63,3.11,1.61
