Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Stat,Condition,,Dmxtt.,Veteran,Penguins,Flightless Fowl,Solar,96.0,912,60,0.605,0.617,37,23,25963,15460,10503,77,37,76,211,36.5%,449.1,267.4,181.7,1.33,0.64,1.31,3.65,432.7,257.7,175.1,1.28,0.62,1.27,3.52,160,122,2.77,2.11,2.67,2.03
,,,Tuhlur.,Veteran,Dog Fighters,Remove Before Flight,Lunar,84.9,604,40,0.699,0.650,26,14,15896,9250,6646,41,23,51,145,28.3%,415.2,241.6,173.6,1.07,0.60,1.33,3.79,397.4,231.3,166.2,1.03,0.58,1.28,3.63,109,63,2.85,1.65,2.73,1.58
,,,TangentOgive,Veteran,Cannoli,Fifty-Fifty Pizzeria,Lunar,84.1,1078,64,0.641,0.609,39,25,26629,15940,10689,63,65,80,239,26.4%,389.7,233.3,156.4,0.92,0.95,1.17,3.50,416.1,249.1,167.0,0.98,1.02,1.25,3.73,194,134,2.84,1.96,3.03,2.09
,,,Bas Radala,Veteran,"Possessed
Slots","Destined
Never Lucky",Solar,81.6,569,36,0.519,0.528,19,17,15412,9000,6412,42,20,52,120,35.0%,427.3,249.5,177.8,1.16,0.55,1.44,3.33,428.1,250.0,178.1,1.17,0.56,1.44,3.33,86,82,2.38,2.27,2.39,2.28
,,,C01E01,Veteran,"Azalea
Dread
Silver Dollar
Rockin Revenants","Flower Road
The Shadows
Money Makers
Ghoul School",Solar,80.7,863,55,0.588,0.564,31,24,23304,13670,9634,59,33,87,177,33.3%,426.0,249.9,176.1,1.08,0.60,1.59,3.24,423.7,248.5,175.2,1.07,0.60,1.58,3.22,142,113,2.60,2.07,2.58,2.05
,,,RyAndGav,Veteran,Water,The Elements,Solar,80.2,314,21,0.643,0.571,12,9,8264,4890,3374,17,19,34,54,31.5%,415.2,245.7,169.5,0.85,0.95,1.71,2.71,393.5,232.9,160.7,0.81,0.90,1.62,2.57,62,43,3.11,2.16,2.95,2.05
,,,Gray,Veteran,Gorillas,The Jungle,Solar,80.1,1026,64,0.571,0.563,36,28,27866,16530,11336,78,28,101,228,34.2%,428.4,254.2,174.3,1.20,0.43,1.55,3.51,435.4,258.3,177.1,1.22,0.44,1.58,3.56,168,140,2.58,2.15,2.63,2.19
,,,Causing .,Veteran,"Mellow Fellows
Dog Fighters
Kirin","Vibe Tribe
Remove Before Flight
The Shrine",Lunar,76.8,495,30,0.464,0.533,16,14,12842,7910,4932,39,15,43,111,35.1%,409.3,252.1,157.2,1.24,0.48,1.37,3.54,428.1,263.7,164.4,1.30,0.50,1.43,3.70,73,80,2.33,2.55,2.43,2.67
,,,Frog_Boot,Veteran,Folks,The Pit,Lunar,74.2,925,62,0.589,0.581,36,26,23632,13580,10052,59,38,79,183,32.2%,403.0,231.6,171.4,1.01,0.65,1.35,3.12,381.2,219.0,162.1,0.95,0.61,1.27,2.95,155,123,2.64,2.10,2.50,1.98
,,,syngoat,Veteran,Typhoons,Storm,Solar,73.9,732,49,0.663,0.714,35,14,18762,10730,8032,43,31,69,143,30.1%,404.3,231.2,173.1,0.93,0.67,1.49,3.08,382.9,219.0,163.9,0.88,0.63,1.41,2.92,130,84,2.80,1.81,2.65,1.71
,,,JustLaben,Veteran,Cannoli,Fifty-Fifty Pizzeria,Lunar,73.5,998,59,0.641,0.610,36,23,25243,15860,9383,77,41,83,196,39.3%,399.0,250.7,148.3,1.22,0.65,1.31,3.10,427.8,268.8,159.0,1.31,0.69,1.41,3.32,178,123,2.81,1.94,3.02,2.08
,,,JoeZ,Veteran,Slots,Never Lucky,Lunar,72.4,56,4,0.279,0.250,1,3,1305,760,545,4,3,2,11,36.4%,367.6,214.1,153.5,1.13,0.85,0.56,3.10,326.3,190.0,136.3,1.00,0.75,0.50,2.75,10,17,2.82,4.79,2.50,4.25
