Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Veteran,RSC001893,Cjax,Makos,Shark Attack,Lunar,198.8,11,1,0.92,1.0,1,0,437,320,117,1,2,2,2,50.00%,623.3,456.4,166.9,1.43,2.85,2.85,2.85,437.0,320.0,117.0,1.0,2.0,2.0,2.0,4,1,5.7,1.43,4.0,1.0
Veteran,RSC007087,Grand Trashcan,Saturn,The Nexus,Solar,118.4,13,1,0.732,1.0,1,0,432,250,182,2,0,0,5,40.00%,521.3,301.7,219.6,2.41,0.0,0.0,6.03,432.0,250.0,182.0,2.0,0.0,0.0,5.0,2,1,2.41,1.21,2.0,1.0
Veteran,RSC007087,Grand Trashcan,Saturn,The Nexus,Solar,118.4,13,1,0.732,1.0,1,0,432,250,182,2,0,0,5,40.00%,521.3,301.7,219.6,2.41,0.0,0.0,6.03,432.0,250.0,182.0,2.0,0.0,0.0,5.0,2,1,2.41,1.21,2.0,1.0
Veteran,RSC006177,Flyerrr85,Saturn,The Nexus,Solar,97.7,54,4,0.753,0.75,3,1,1576,970,606,5,3,4,12,41.70%,457.9,281.8,176.1,1.45,0.87,1.16,3.49,394.0,242.5,151.5,1.25,0.75,1.0,3.0,12,6,3.49,1.74,3.0,1.5
Veteran,RSC006177,Flyerrr85,Saturn,The Nexus,Solar,97.7,54,4,0.753,0.75,3,1,1576,970,606,5,3,4,12,41.70%,457.9,281.8,176.1,1.45,0.87,1.16,3.49,394.0,242.5,151.5,1.25,0.75,1.0,3.0,12,6,3.49,1.74,3.0,1.5
Veteran,RSC006985,Not So Jucy Skep,Singularity,Event Horizon,Solar,91.4,956,63,0.737,0.778,49,14,27270,16110,11160,73,45,89,211,34.60%,447.5,264.4,183.1,1.2,0.74,1.46,3.46,432.9,255.7,177.1,1.16,0.71,1.41,3.35,185,95,3.04,1.56,2.94,1.51
Veteran,RSC006838,Possiblyzach,Makos,Shark Attack,Lunar,90.2,985,64,0.686,0.703,45,19,28397,17330,11067,79,48,101,198,39.90%,452.3,276.0,176.3,1.26,0.76,1.61,3.15,443.7,270.8,172.9,1.23,0.75,1.58,3.09,192,117,3.06,1.86,3.0,1.83
Veteran,RSC004900,Jordon1377,Saturn,The Nexus,Solar,90.0,611,40,0.609,0.6,24,16,17402,10090,7312,47,34,50,119,39.50%,446.8,259.1,187.7,1.21,0.87,1.28,3.06,435.1,252.3,182.8,1.18,0.85,1.25,2.98,111,84,2.85,2.16,2.78,2.1
Veteran,RSC005308,Yeetn-Skeet,Gouda Gangsters,Cheese Guild,Solar,87.0,1001,63,0.612,0.667,42,21,27432,16880,10552,75,46,96,228,32.90%,429.9,264.6,165.4,1.18,0.72,1.5,3.57,435.4,267.9,167.5,1.19,0.73,1.52,3.62,179,134,2.81,2.1,2.84,2.13
Veteran,RSC004780,Kayo,Seadevils,The Abyss,Lunar,86.6,531,36,0.645,0.639,23,13,14671,8980,5691,49,19,36,133,36.80%,433.5,265.3,168.1,1.45,0.56,1.06,3.93,407.5,249.4,158.1,1.36,0.53,1.0,3.69,94,64,2.78,1.89,2.61,1.78
