Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Stat,Condition,,Lockdown3501,Prospect,Sparks,Electric Mayhem,Lunar,115.0,161,11,0.609,0.636,7,4,5328,3440,1888,21,8,9,49,42.9%,417.8,269.7,148.0,1.65,0.63,0.71,3.84,484.4,312.7,171.6,1.91,0.73,0.82,4.45,37,28,2.90,2.20,3.36,2.55
GP,,,Zoose,Prospect,Dolphins,The Ocean,Solar,101.6,642,53,0.677,0.660,35,18,20602,12220,8382,70,31,40,167,41.9%,405.1,240.3,164.8,1.38,0.61,0.79,3.28,388.7,230.6,158.2,1.32,0.58,0.75,3.15,159,100,3.13,1.97,3.00,1.89
,,,Niceguydbone98,Prospect,Fire Ants,The Swarm,Solar,99.8,133,11,0.542,0.545,6,5,4333,2580,1753,14,8,10,28,50.0%,411.3,244.9,166.4,1.33,0.76,0.95,2.66,393.9,234.5,159.4,1.27,0.73,0.91,2.55,31,28,2.94,2.66,2.82,2.55
,,,Major Bumbo,Prospect,Breadsticks,Fifty-Fifty Pizzeria,Lunar,99.3,159,12,0.702,0.667,8,4,4656,2890,1766,12,10,15,44,27.3%,369.7,229.5,140.2,0.95,0.79,1.19,3.49,388.0,240.8,147.2,1.00,0.83,1.25,3.67,32,18,2.54,1.43,2.67,1.50
,,,Jutsin,Prospect,Firecrackers,Fallout Shelter,Solar,88.4,574,45,0.668,0.689,31,14,17105,9640,7465,48,35,38,119,40.3%,376.2,212.0,164.2,1.06,0.77,0.84,2.62,380.1,214.2,165.9,1.07,0.78,0.84,2.64,130,83,2.86,1.83,2.89,1.84
,,,Foolproofanne,Prospect,"Fire Ants
Drizzle","The Swarm
Storm",Solar,85.3,104,8,0.845,0.875,7,1,3309,1960,1349,9,4,13,21,42.9%,401.7,237.9,163.8,1.09,0.49,1.58,2.55,413.6,245.0,168.6,1.13,0.50,1.63,2.63,25,8,3.03,0.97,3.13,1.00
,,,Clint9Smith,Prospect,Dolphins,The Ocean,Solar,82.6,151,11,0.764,0.818,9,2,4080,2510,1570,9,11,15,31,29.0%,341.1,209.9,131.3,0.75,0.92,1.25,2.59,370.9,228.2,142.7,0.82,1.00,1.36,2.82,40,19,3.34,1.59,3.64,1.73
,,,Confetti.,Prospect,Huskies,Dog Pound,Solar,81.1,622,51,0.595,0.569,29,22,18463,10510,7953,51,29,54,126,40.5%,374.7,213.3,161.4,1.04,0.59,1.10,2.56,362.0,206.1,155.9,1.00,0.57,1.06,2.47,140,110,2.84,2.23,2.75,2.16
,,,Packrat31306,Prospect,Huskies,Dog Pound,Solar,75.6,615,50,0.590,0.540,27,23,17392,10380,7012,65,22,29,133,48.9%,357.0,213.1,143.9,1.33,0.45,0.60,2.73,347.8,207.6,140.2,1.30,0.44,0.58,2.66,143,114,2.94,2.34,2.86,2.28
,,,Wolfocus,Prospect,Spirits,The Astronauts,Solar,74.9,55,4,0.695,1.000,4,0,1671,1030,641,2,3,12,8,25.0%,383.6,236.4,147.1,0.46,0.69,2.75,1.84,417.8,257.5,160.3,0.50,0.75,3.00,2.00,9,5,2.07,1.15,2.25,1.25
